tld,min_char,max_char,registration_price,provider
ac,1,63,26,regery
ad,3,63,20,inwx
ae,2,63,32,regery
af,1,63,42,inwx
ag,1,63,79,regery
ai,1,63,74,regery
al,2,63,14,regery
am,1,63,26,netim
an,,,30,regery
ao,4,63,300,regery
aq,3,63,53,regery
ar,1,50,47,regery
as,2,63,59,regery
at,1,63,11,regery
au,2,63,19,regery
aw,3,63,155,regery
ax,2,63,32,regery
az,3,63,243,regery
ba,3,63,57,regery
bb,3,63,185,regery
bd,2,63,91,inwx
be,2,63,7,regery
bf,3,63,70,regery
bg,3,63,37,regery
bh,1,63,53,regery
bi,2,63,37,regery
bj,3,63,20,regery
bl,,,,
bm,2,63,162,regery
bn,2,63,30,regery
bo,1,63,1,netim
bq,,,,
br,2,26,70,inwx
bs,3,63,330,regery
bt,3,63,133,regery
bv,,,,
bw,3,63,70,inwx
by,2,63,17,regery
bz,2,63,17,regery
ca,2,63,9,regery
cc,1,63,9,regery
cd,1,63,49,inwx
cf,1,63,1,netim
cg,3,63,300,regery
ch,3,63,8,regery
ci,2,63,17,regery
ck,2,63,30,regery
cl,1,63,13,regery
cm,1,63,76,netim
cn,1,63,15,regery
co,1,63,27,regery
cr,1,63,93,netim
cu,3,63,750,regery
cv,1,63,22,netim
cw,2,63,130,regery
cx,1,63,16,regery
cy,3,63,39,regery
cz,1,63,9,inwx
de,1,63,3,inwx
dj,3,63,55,netim
dk,2,63,11,regery
dm,2,63,1,netim
do,2,63,50,regery
dz,2,63,35,regery
ec,3,63,50,regery
ee,2,63,12,inwx
eg,2,63,310,regery
eh,,,,
er,,,30,regery
es,3,63,5,regery
et,2,63,138,inwx
eu,2,63,6,inwx
fi,2,63,12,regery
fj,2,63,30,regery
fk,3,63,240,inwx
fm,1,63,67,regery
fo,1,63,50,regery
fr,1,63,6,regery
ga,3,63,21,regery
gb,,,,
gd,1,63,26,regery
ge,2,63,18,inwx
gf,3,63,57,regery
gg,1,63,60,regery
gh,3,63,167,inwx
gi,3,63,110,regery
gl,1,63,32,regery
gm,3,63,30,inwx
gn,3,63,60,inwx
gp,2,63,104,netim
gq,1,63,1,netim
gr,2,63,12,regery
gs,1,63,39,inwx
gt,1,63,74,netim
gu,3,63,296,inwx
gw,2,63,38,netim
gy,1,63,31,regery
hk,2,63,29,regery
hm,3,63,45,netim
hn,1,63,64,regery
hr,1,63,83,netim
ht,1,63,85,regery
hu,2,63,5,regery
id,3,63,23,regery
ie,1,63,23,regery
il,3,23,30,regery
im,1,63,17,regery
in,3,63,6,regery
io,1,63,30,regery
iq,2,63,1,netim
ir,3,63,1,netim
is,1,63,47,regery
it,3,63,5,regery
je,1,63,60,regery
jm,2,63,30,regery
jo,3,63,200,regery
jp,3,63,30,regery
ke,2,63,93,regery
kg,2,63,65,regery
kh,3,63,108,inwx
ki,1,63,910,regery
km,3,63,210,regery
kn,3,63,190,regery
kp,,,,
kr,2,63,34,netim
kw,1,63,0,inwx
ky,4,63,110,regery
kz,1,63,20,regery
la,1,63,28,regery
lb,2,63,120,inwx
lc,1,63,19,regery
li,3,63,8,regery
lk,4,63,35,regery
lr,3,63,60,inwx
ls,2,63,99,regery
lt,2,63,10,regery
lu,1,63,18,regery
lv,2,63,19,netim
ly,4,63,83,netim
ma,2,63,19,regery
mc,2,63,35,regery
md,1,63,49,regery
me,1,63,10,inwx
mf,,,,
mg,2,63,114,netim
mh,,,,
mk,1,63,26,netim
ml,1,63,19,netim
mm,3,63,150,inwx
mn,2,63,42,regery
mo,3,63,120,regery
mp,4,63,64,inwx
mq,3,63,57,regery
mr,1,63,67,regery
ms,1,63,39,inwx
mt,1,63,37,regery
mu,1,63,52,regery
mv,3,63,455,inwx
mw,1,63,66,netim
mx,3,63,25,regery
my,1,63,10,inwx
mz,3,63,102,inwx
na,2,63,3700,inwx
nc,3,63,726,inwx
ne,2,63,358,netim
nf,1,63,137,regery
ng,3,63,25,netim
ni,3,63,1,netim
nl,2,63,6,regery
no,2,63,10,regery
np,3,63,120,inwx
nr,2,63,780,inwx
nu,1,63,26,netim
nz,1,63,14,inwx
om,3,63,151,inwx
pa,2,63,630,inwx
pe,1,63,39,inwx
pf,3,63,263,inwx
pg,3,63,359,inwx
ph,3,63,51,netim
pk,4,63,34,netim
pl,1,63,13,netim
pm,2,63,12,inwx
pn,2,63,222,inwx
pr,3,63,1158,netim
ps,1,63,57,netim
pt,2,63,19,netim
pw,1,63,22,inwx
py,2,63,131,inwx
qa,3,63,38,inwx
re,2,63,12,inwx
ro,1,63,10,inwx
rs,2,63,36,netim
ru,2,63,13,netim
rw,3,63,243,netim
sa,2,63,295,netim
