domain,url,price
a.ac,https://a.ac,NONE
a.ad,,NO_SITE
a.ae,,NO_SITE
a.af,https://a.af,NONE
a.ag,,NO_SITE
a.ai,https://a.ai,NONE
a.al,,NO_SITE
a.am,https://a.am,NONE
a.an,,NO_SITE
a.ao,,NO_SITE
a.aq,,NO_SITE
a.ar,https://a.ar,100000
a.as,,NO_SITE
a.at,http://a.at,NONE
a.au,,NO_SITE
a.aw,,NO_SITE
a.ax,,NO_SITE
a.az,,NO_SITE
a.ba,,NO_SITE
a.bb,,NO_SITE
a.bd,,NO_SITE
a.be,,NO_SITE
a.bf,,NO_SITE
a.bg,,NO_SITE
a.bh,,NO_SITE
a.bi,,NO_SITE
a.bj,,NO_SITE
a.bm,,NO_SITE
a.bn,,NO_SITE
a.bo,https://a.bo,NONE
a.br,,NO_SITE
a.bs,,NO_SITE
a.bt,,NO_SITE
a.bv,,NO_SITE
a.bw,https://a.bw,NONE
a.by,,NO_SITE
a.bz,,NO_SITE
a.ca,,NO_SITE
a.cc,http://a.cc,NONE
a.cd,,NO_SITE
a.cf,,NO_SITE
a.cg,,NO_SITE
a.ch,,NO_SITE
a.ci,,NO_SITE
a.ck,,NO_SITE
a.cl,https://a.cl,NONE
a.cm,http://a.cm,NONE
a.cn,http://a.cn,NONE
a.co,https://a.co,NONE
a.cr,https://a.cr,NO_TEXT
a.cu,,NO_SITE
a.cv,,NO_SITE
a.cw,,NO_SITE
a.cx,http://a.cx,NONE
a.cy,,NO_SITE
a.cz,https://a.cz,NONE
a.de,https://a.de,NONE
a.dj,,NO_SITE
a.dk,https://a.dk,NONE
a.dm,,NO_SITE
a.do,,NO_SITE
a.dz,,NO_SITE
a.ec,,NO_SITE
a.ee,,NO_SITE
a.eg,,NO_SITE
a.er,,NO_SITE
a.es,,NO_SITE
a.et,,NO_SITE
a.eu,,NO_SITE
a.fi,,NO_SITE
a.fj,,NO_SITE
a.fk,,NO_SITE
a.fm,http://a.fm,NONE
a.fo,,NO_SITE
a.fr,http://a.fr,NONE
a.ga,,NO_SITE
a.gb,,NO_SITE
a.gd,,NO_SITE
a.ge,,NO_SITE
a.gf,,NO_SITE
a.gg,https://a.gg,NONE
a.gh,,NO_SITE
a.gi,,NO_SITE
a.gl,,NO_SITE
a.gm,,NO_SITE
a.gn,,NO_SITE
a.gp,,NO_SITE
a.gq,,NO_SITE
a.gr,,NO_SITE
a.gs,,NO_SITE
a.gt,https://a.gt,NONE
a.gu,,NO_SITE
a.gw,,NO_SITE
a.gy,,NO_SITE
a.hk,,NO_SITE
