domain,url,price
a.ar,https://a.ar,100000
b.ml,https://b.ml,80000
c.cm,https://c.cm,270000
c.la,http://c.la,9999
c.td,http://c.td,1.5
d.am,https://d.am,199999
d.bw,http://d.bw,45
d.cl,https://d.cl,10000
d.my,https://d.my,0.0003
d.nf,https://d.nf,15.99
d.vu,http://d.vu,1.5
e.cv,https://e.cv,95000
e.gt,https://e.gt,21500
e.gy,https://e.gy,18000
e.hr,https://e.hr,100000
e.ht,http://e.ht,200
e.pn,https://e.pn,1000
f.dk,http://f.dk,94995
f.hn,https://f.hn,12000
f.nf,http://f.nf,1.50
g.am,https://g.am,199999
g.as,https://g.as,200000
g.et,https://g.et,175000
g.fo,https://g.fo,59
g.hr,https://g.hr,50000
g.mr,https://g.mr,5000
h.cl,https://h.cl,10000
h.gl,http://h.gl,1.50
h.mk,http://h.mk,1.5
h.ro,https://h.ro,50000
i.at,https://i.at,0.99
i.hn,https://i.hn,50000
i.hr,https://i.hr,30000
j.ai,https://j.ai,3000000
j.ar,https://j.ar,120000
j.cl,https://j.cl,10000
j.mk,http://j.mk,1.50
j.nz,http://j.nz,2025
k.pl,https://k.pl,249
k.st,https://k.st,150
k.uk,https://k.uk,0
l.cm,https://l.cm,3450
l.ua,https://l.ua,35000
l.uk,http://l.uk,499999
m.af,http://m.af,1.5
m.gd,https://m.gd,8888
m.ml,https://m.ml,938
n.nu,https://n.nu,89
n.sk,https://n.sk,690000
n.sl,https://n.sl,2.99
o.bw,http://o.bw,5
o.gy,https://o.gy,75000
o.ua,https://o.ua,45000
q.cm,http://q.cm,12
q.ua,https://q.ua,15000
q.vu,http://q.vu,1.5
r.gy,https://r.gy,35000
r.hr,https://r.hr,25000
r.to,https://r.to,150000
s.dm,https://s.dm,0.015
s.my,https://s.my,198000
t.de,https://t.de,0
t.gd,https://t.gd,50000
u.ai,https://u.ai,60000000
u.co,http://u.co,29537055048040068440050011001300425005201000
u.gs,https://u.gs,9999
u.hr,https://u.hr,45000
u.pn,http://u.pn,57500
u.uk,https://u.uk,500000
v.at,https://v.at,100000
v.hn,https://v.hn,16888
v.ro,https://v.ro,1190
v.td,http://v.td,1.5
w.hr,https://w.hr,12000
w.ht,https://w.ht,12.95
w.ki,https://w.ki,1111
w.pe,https://w.pe,15000
x.ac,https://x.ac,50000
y.fr,https://y.fr,2583
y.mk,https://y.mk,10000
y.pe,https://y.pe,12000
z.gl,https://z.gl,300000
z.mw,http://z.mw,21000
z.vu,http://z.vu,1.50
0.ar,https://0.ar,6000
0.mr,https://0.mr,21999
0.nf,http://0.nf,3200
1.is,https://1.is,899888
1.mw,http://1.mw,13490
1.nz,http://1.nz,300000
1.uk,http://1.uk,499999
2.de,https://2.de,0
2.tl,https://2.tl,10000
2.vg,http://2.vg,13490
3.dk,https://3.dk,3
3.gl,http://3.gl,1.50
3.ie,https://3.ie,0
3.kg,http://3.kg,57500
3.nz,http://3.nz,300000
3.se,https://3.se,449
4.nz,http://4.nz,8.25
4.pl,https://4.pl,552270
5.cr,https://5.cr,8888
5.io,https://5.io,200000
5.ro,https://5.ro,55
6.cn,https://6.cn,5148
6.cr,https://6.cr,5888
6.ie,https://6.ie,8888
7.at,https://7.at,0.99
7.cl,https://7.cl,20000
7.gl,https://7.gl,50000
7.mk,https://7.mk,320
7.ua,https://7.ua,55000
7.uk,http://7.uk,299999
8.ac,http://8.ac,22000
8.cl,https://8.cl,28288
8.cr,https://8.cr,18888
8.cx,http://8.cx,999
8.ht,https://8.ht,18888
8.ls,https://8.ls,8888
8.mr,https://8.mr,18888
9.ac,https://9.ac,19000
9.ar,https://9.ar,6000
9.kg,http://9.kg,13490
9.ls,https://9.ls,7999
9.nf,https://9.nf,50000
9.uk,http://9.uk,299999
