domain,url,price_original,currency,price_usd
a.ar,https://a.ar/,100000.0,USD,100000.0
b.ml,https://b.ml/,80000.0,USD,80000.0
c.cm,https://c.cm/,270000.0,USD,270000.0
d.am,https://d.am/,199999.0,USD,199999.0
d.cl,https://d.cl/,10000.0,EUR,11000.0
e.cv,https://laserai.com/portfolio/e.cv,95000.0,USD,95000.0
e.gy,https://www.fruits.co/domain/e.gy,18000.0,USD,18000.0
e.hr,https://e.hr/,100000.0,USD,100000.0
f.hn,https://www.fruits.co/domain/f.hn,12000.0,USD,12000.0
g.am,https://g.am/,199999.0,USD,199999.0
g.as,https://g.as/,200000.0,USD,200000.0
g.et,https://www.fruits.co/domain/g.et,175000.0,USD,175000.0
g.hr,https://g.hr/,50000.0,USD,50000.0
g.mr,https://g.mr/,5000.0,USD,5000.0
h.cl,https://h.cl/,10000.0,EUR,11000.0
h.ro,https://h.ro/,50000.0,EUR,55000.0
i.hn,https://i.hn/,50000.0,USD,50000.0
i.hr,https://www.fruits.co/domain/i.hr,30000.0,EUR,33000.0
j.ai,https://market.name.am/j.ai,3000000.0,USD,3000000.0
j.ar,https://j.ar/,120000.0,USD,120000.0
j.cl,https://j.cl/,10000.0,EUR,11000.0
k.uk,https://buydomainnames.co.uk/domain/k.uk,0.0,GBP,0.0
l.cm,https://l.cm/,3450.0,USD,3450.0
l.ua,https://l.ua/,35000.0,USD,35000.0
l.uk,https://perfectdomain.com/domain/l.uk,499999.0,USD,499999.0
m.gd,https://www.fruits.co/domain/m.gd,8888.0,USD,8888.0
o.gy,https://www.fruits.co/domain/o.gy,75000.0,USD,75000.0
o.ua,https://o.ua/,45000.0,USD,45000.0
q.cm,http://q.cm/,24.95,USD,24.95
q.ua,https://q.ua/,15000.0,EUR,16350.0
r.gy,https://www.fruits.co/domain/r.gy,35000.0,USD,35000.0
r.hr,https://r.hr/,25000.0,USD,25000.0
r.to,https://r.to/,150000.0,USD,150000.0
s.my,https://s.my/,198000.0,USD,198000.0
u.ai,https://u.ai/,60000000.0,USD,60000000.0
u.gs,https://u.gs/,9999.0,USD,9999.0
u.hr,https://www.fruits.co/domain/u.hr,45000.0,EUR,48600.0
u.uk,https://www.fruits.co/domain/u.uk,500000.0,GBP,625000.0
v.at,https://v.at/,100000.0,EUR,110000.0
v.hn,https://www.fruits.co/domain/v.hn,16888.0,USD,16888.0
w.hr,https://www.fruits.co/domain/w.hr,12000.0,EUR,13200.0
w.pe,https://www.fruits.co/domain/w.pe,15000.0,USD,15000.0
x.ac,https://x.ac/,50000.0,USD,50000.0
y.mk,https://y.mk/,10000.0,USD,10000.0
y.pe,https://www.fruits.co/domain/y.pe,12000.0,USD,12000.0
z.gl,https://z.gl/,300000.0,USD,300000.0
0.ar,https://0.ar/,6000.0,USD,6000.0
0.mr,https://0.mr/,21999.0,USD,21999.0
1.mw,https://www.1-single-letter-domains.com/?d=1.mw,3960.0,USD,3960.0
1.nz,https://im.forsale/domain/1.nz,300000.0,GBP,381000.0
1.uk,https://perfectdomain.com/domain/1.uk,499999.0,USD,499999.0
2.tl,https://2.tl/,10000.0,GBP,12800.0
3.kg,https://www.1-single-letter-domains.com/?d=3.kg,3500.0,EUR,3850.0
3.nz,https://im.forsale/domain/3.nz,300000.0,GBP,384000.0
4.pl,https://www.aftermarket.pl/domena/4.pl/?utm_source=market_redirect&utm_medium=organic&_track=3fd748314b173ba1eb559bcd9902a411,552270.0,PLN,127022.1
5.cr,https://www.fruits.co/domain/5.cr,5888.0,USD,5888.0
6.cr,https://www.fruits.co/domain/6.cr,5888.0,USD,5888.0
6.ie,https://www.fruits.co/domain/6.ie,8888.0,EUR,9776.8
7.cl,https://www.fruits.co/domain/7.cl,20000.0,USD,20000.0
7.gl,https://7.gl/,50000.0,USD,50000.0
7.ua,https://7.ua/,55000.0,USD,55000.0
7.uk,https://perfectdomain.com/domain/7.uk,299999.0,USD,299999.0
8.cl,https://www.fruits.co/domain/8.cl,28888.0,USD,28888.0
8.cr,https://www.fruits.co/domain/8.cr,18888.0,USD,18888.0
8.cx,http://8.cx/,999.0,CNY,140.7
8.ht,https://www.fruits.co/domain/8.ht,18888.0,USD,18888.0
8.ls,https://8.ls/,8888.0,USD,8888.0
8.mr,https://8.mr/,18888.0,USD,18888.0
9.ar,https://9.ar/,6000.0,USD,6000.0
9.kg,https://www.1-single-letter-domains.com/?d=9.kg,3500.0,EUR,3780.0
9.ls,https://9.ls/,7999.0,USD,7999.0
9.nf,https://9.nf/,50000.0,USD,50000.0
9.uk,https://perfectdomain.com/domain/9.uk,299999.0,USD,299999.0
