domain,zone,status,summary
0.ac,ac,marketed active parked,parked
0.ad,ad,undelegated inactive,inactive
0.ae,ae,undelegated disallowed,disallowed
0.af,af,active,active
0.ag,ag,active,active
0.ai,ai,active,active
0.al,al,undelegated,undelegated
0.am,am,undelegated claimed,claimed
0.an,an,disallowed,disallowed
0.ao,ao,undelegated,undelegated
0.aq,aq,undelegated,undelegated
0.ar,ar,marketed active parked,parked
0.as,as,reserved,reserved
0.at,at,active,active
0.au,au,undelegated inactive,inactive
0.aw,aw,undelegated,undelegated
0.ax,ax,undelegated disallowed,disallowed
0.az,az,reserved,reserved
0.ba,ba,undelegated,undelegated
0.bb,bb,undelegated,undelegated
0.bd,bd,disallowed,disallowed
0.be,be,reserved,reserved
0.bf,bf,undelegated inactive,inactive
0.bg,0.bg,undelegated zone,zone
0.bh,bh,undelegated inactive premium,premium
0.bi,bi,undelegated reserved,reserved
0.bj,bj,undelegated,undelegated
0.bm,bm,undelegated inactive,inactive
0.bn,bn,undelegated inactive,inactive
0.bo,bo,active,active
0.br,br,undelegated disallowed,disallowed
0.bs,bs,undelegated,undelegated
0.bt,bt,undelegated,undelegated
0.bv,bv,disallowed,disallowed
0.bw,bw,undelegated inactive,inactive
0.by,by,undelegated,undelegated
0.bz,bz,undelegated reserved,reserved
0.ca,ca,reserved,reserved
0.cc,cc,active,active
0.cd,cd,active,active
0.cf,cf,undelegated,undelegated
0.cg,cg,undelegated,undelegated
0.ch,ch,reserved,reserved
0.ci,ci,undelegated,undelegated
0.ck,ck,disallowed,disallowed
0.cl,cl,active,active
0.cm,cm,active,active
0.cn,cn,active,active
0.co,co,active,active
0.cr,cr,active,active
0.cu,cu,undelegated,undelegated
0.cv,cv,undelegated,undelegated
0.cw,cw,undelegated,undelegated
0.cx,cx,marketed priced active,active
0.cy,cy,disallowed,disallowed
0.cz,cz,active,active
0.de,de,active,active
0.dj,dj,active,active
0.dk,dk,active,active
0.dm,dm,undelegated premium active,active
0.do,do,undelegated,undelegated
0.dz,dz,undelegated,undelegated
0.ec,ec,undelegated disallowed,disallowed
0.ee,ee,active,active
0.eg,eg,undelegated,undelegated
0.er,er,disallowed,disallowed
0.es,es,undelegated disallowed,disallowed
0.et,et,active,active
0.eu,eu,reserved,reserved
0.fi,fi,undelegated disallowed,disallowed
0.fj,fj,undelegated inactive,inactive
0.fk,fk,disallowed,disallowed
0.fm,0.fm,active zone,zone
0.fo,fo,active,active
0.fr,fr,reserved,reserved
0.ga,ga,undelegated active,active
0.gb,gb,disallowed,disallowed
0.gd,gd,undelegated premium active,active
0.ge,ge,undelegated active,active
0.gf,gf,undelegated inactive,inactive
0.gg,gg,active,active
0.gh,gh,disallowed,disallowed
0.gi,gi,undelegated inactive,inactive
0.gl,gl,undelegated active,active
0.gm,gm,undelegated,undelegated
0.gn,gn,disallowed,disallowed
0.gp,gp,active,active
0.gq,gq,undelegated inactive,inactive
0.gr,gr,undelegated active,active
0.gs,gs,marketed priced active,active
0.gt,gt,active,active
0.gu,gu,undelegated,undelegated
0.gw,gw,undelegated,undelegated
0.gy,gy,active,active
0.hk,hk,reserved,reserved
0.hm,hm,active,active
0.hn,hn,active,active
0.hr,hr,active,active
0.ht,ht,active,active
0.hu,hu,undelegated disallowed,disallowed
0.id,id,reserved,reserved
0.ie,ie,active,active
0.il,il,disallowed,disallowed
0.im,im,undelegated premium active,active
0.in,in,reserved,reserved
0.io,io,active,active
0.iq,iq,undelegated,undelegated
0.ir,ir,undelegated,undelegated
0.is,is,active,active
0.it,it,undelegated disallowed,disallowed
0.je,je,active,active
0.jm,jm,disallowed,disallowed
0.jo,jo,undelegated,undelegated
0.jp,jp,undelegated disallowed,disallowed
0.ke,ke,disallowed,disallowed
0.kg,kg,active,active
0.kh,kh,undelegated,undelegated
0.ki,ki,undelegated inactive,inactive
0.km,km,undelegated,undelegated
0.kn,kn,undelegated,undelegated
0.kp,kp,undelegated,undelegated
0.kr,kr,reserved,reserved
0.kw,kw,undelegated,undelegated
0.ky,ky,undelegated reserved,reserved
0.kz,kz,active,active
0.la,la,active,active
0.lb,lb,disallowed,disallowed
0.lc,lc,active,active
0.li,li,reserved,reserved
0.lk,lk,undelegated disallowed,disallowed
0.lr,lr,disallowed,disallowed
0.ls,ls,active,active
0.lt,lt,undelegated disallowed,disallowed
0.lu,lu,active,active
0.lv,lv,undelegated disallowed,disallowed
0.ly,ly,claimed active,active
0.ma,ma,undelegated disallowed,disallowed
0.mc,mc,undelegated,undelegated
0.md,md,active,active
0.me,me,inactive premium,premium
0.mf,mf,disallowed,disallowed
0.mg,mg,undelegated active,active
0.mh,mh,disallowed,disallowed
0.mk,mk,active,active
0.ml,ml,active,active
0.mm,mm,disallowed,disallowed
0.mn,mn,undelegated active,active
0.mo,mo,undelegated inactive,inactive
0.mp,mp,reserved,reserved
0.mq,mq,undelegated inactive,inactive
0.mr,mr,marketed priced active,active
0.ms,ms,active,active
0.mt,mt,undelegated,undelegated
0.mu,mu,undelegated active,active
0.mv,mv,undelegated,undelegated
0.mw,mw,active,active
0.mx,mx,undelegated reserved,reserved
0.my,my,active,active
0.mz,mz,disallowed,disallowed
0.na,na,undelegated,undelegated
0.nc,nc,reserved,reserved
0.ne,ne,undelegated,undelegated
0.nf,nf,marketed active parked,parked
0.ng,ng,undelegated,undelegated
0.ni,ni,disallowed,disallowed
0.nl,nl,reserved,reserved
0.no,no,undelegated inactive,inactive
0.np,np,disallowed,disallowed
0.nr,nr,undelegated,undelegated
0.nu,nu,active,active
0.nz,nz,active,active
0.om,om,undelegated reserved,reserved
0.pa,pa,undelegated,undelegated
0.pe,pe,active,active
0.pf,pf,undelegated,undelegated
0.pg,pg,undelegated inactive,inactive
0.ph,ph,disallowed,disallowed
0.pk,pk,undelegated inactive,inactive
0.pl,pl,active,active
0.pm,pm,reserved,reserved
0.pn,pn,active,active
0.pr,pr,undelegated active,active
0.ps,ps,undelegated active,active
0.pt,pt,reserved,reserved
0.pw,pw,undelegated inactive premium,premium
0.py,py,disallowed,disallowed
0.qa,qa,undelegated disallowed,disallowed
0.re,re,reserved,reserved
0.ro,ro,marketed active,active
0.rs,rs,undelegated disallowed,disallowed
0.ru,ru,reserved,reserved
0.rw,rw,active,active
0.sa,sa,undelegated,undelegated
0.sb,sb,active,active
0.sc,sc,undelegated inactive premium,premium
0.sd,sd,marketed priced undelegated active,active
0.se,se,active,active
0.sg,sg,undelegated reserved,reserved
0.sh,sh,active,active
0.si,si,undelegated disallowed,disallowed
0.sj,sj,disallowed,disallowed
0.sk,sk,active,active
0.sl,sl,undelegated reserved,reserved
0.sm,sm,undelegated,undelegated
0.sn,sn,disallowed,disallowed
0.so,so,undelegated active,active
0.sr,sr,undelegated,undelegated
0.ss,ss,undelegated,undelegated
0.st,st,active,active
0.su,su,undelegated reserved,reserved
0.sv,sv,active,active
0.sx,sx,undelegated disallowed,disallowed
0.sy,sy,undelegated reserved,reserved
0.sz,sz,undelegated,undelegated
0.tc,tc,active,active
0.td,td,active,active
0.tf,tf,reserved,reserved
0.tg,tg,undelegated inactive,inactive
0.th,th,disallowed,disallowed
0.tj,tj,active,active
0.tk,tk,undelegated,undelegated
0.tl,tl,marketed active parked,parked
0.tm,tm,undelegated inactive,inactive
0.tn,tn,undelegated,undelegated
0.to,to,active,active
0.tp,tp,disallowed,disallowed
0.tr,tr,disallowed,disallowed
0.tt,tt,undelegated,undelegated
0.tv,tv,active,active
0.tw,tw,undelegated,undelegated
0.tz,tz,disallowed,disallowed
0.ua,ua,undelegated inactive,inactive
0.ug,ug,undelegated,undelegated
0.uk,uk,active,active
0.um,um,disallowed,disallowed
0.us,us,undelegated active,active
0.uy,uy,active,active
0.uz,uz,undelegated inactive,inactive
0.va,va,undelegated active,active
0.vc,vc,undelegated active,active
0.ve,ve,disallowed,disallowed
0.vg,vg,premium active,active
0.vi,vi,disallowed,disallowed
0.vn,vn,undelegated active,active
0.vu,vu,active,active
0.wf,wf,reserved,reserved
0.ws,ws,inactive premium,premium
0.ye,ye,disallowed,disallowed
0.yt,yt,reserved,reserved
0.za,za,disallowed,disallowed
0.zm,zm,undelegated inactive,inactive
0.zw,zw,undelegated,undelegated
1.ac,ac,active,active
1.ad,ad,undelegated inactive,inactive
1.ae,ae,disallowed,disallowed
1.af,af,active,active
1.ag,ag,undelegated active,active
1.ai,ai,marketed active,active
1.al,al,undelegated,undelegated
1.am,am,active,active
1.an,an,disallowed,disallowed
1.ao,ao,undelegated,undelegated
1.aq,aq,undelegated,undelegated
1.ar,ar,undelegated,undelegated
1.as,as,reserved,reserved
1.at,at,marketed active,active
1.au,au,undelegated inactive,inactive
1.aw,aw,undelegated,undelegated
1.ax,ax,undelegated disallowed,disallowed
1.az,az,reserved,reserved
1.ba,ba,undelegated,undelegated
1.bb,bb,undelegated,undelegated
1.bd,bd,disallowed,disallowed
1.be,be,reserved,reserved
1.bf,bf,undelegated inactive,inactive
1.bg,1.bg,undelegated zone,zone
1.bh,bh,active,active
1.bi,bi,undelegated reserved,reserved
1.bj,bj,undelegated,undelegated
1.bm,bm,undelegated inactive,inactive
1.bn,bn,undelegated inactive,inactive
1.bo,bo,active,active
1.br,br,undelegated disallowed,disallowed
1.bs,bs,undelegated,undelegated
1.bt,bt,undelegated,undelegated
1.bv,bv,disallowed,disallowed
1.bw,bw,undelegated inactive,inactive
1.by,by,undelegated,undelegated
1.bz,bz,undelegated reserved,reserved
1.ca,ca,reserved,reserved
1.cc,cc,active,active
1.cd,cd,active,active
1.cf,cf,undelegated,undelegated
1.cg,cg,active,active
1.ch,ch,reserved,reserved
1.ci,ci,undelegated,undelegated
1.ck,ck,disallowed,disallowed
1.cl,cl,active,active
1.cm,cm,reserved,reserved
1.cn,cn,active,active
1.co,co,active,active
1.cr,cr,marketed priced active,active
1.cu,cu,undelegated,undelegated
1.cv,cv,undelegated,undelegated
1.cw,cw,undelegated,undelegated
1.cx,cx,marketed active parked,parked
1.cy,cy,disallowed,disallowed
1.cz,cz,active,active
1.de,de,active,active
1.dj,dj,active,active
1.dk,dk,active,active
1.dm,dm,undelegated premium active,active
1.do,do,undelegated,undelegated
1.dz,dz,undelegated,undelegated
1.ec,ec,undelegated disallowed,disallowed
1.ee,ee,active,active
1.eg,eg,undelegated,undelegated
1.er,er,disallowed,disallowed
1.es,es,undelegated disallowed,disallowed
1.et,et,active,active
1.eu,eu,reserved,reserved
1.fi,fi,undelegated disallowed,disallowed
1.fj,fj,undelegated inactive,inactive
1.fk,fk,disallowed,disallowed
1.fm,fm,active,active
1.fo,fo,active,active
1.fr,fr,reserved,reserved
1.ga,ga,undelegated active,active
1.gb,gb,disallowed,disallowed
1.gd,gd,active,active
1.ge,ge,undelegated active,active
1.gf,gf,undelegated inactive,inactive
1.gg,gg,active,active
1.gh,gh,disallowed,disallowed
1.gi,gi,undelegated inactive,inactive
1.gl,gl,active,active
1.gm,gm,undelegated,undelegated
1.gn,gn,disallowed,disallowed
1.gp,gp,active,active
1.gq,gq,undelegated inactive,inactive
1.gr,gr,undelegated active,active
1.gs,gs,active,active
1.gt,gt,active,active
