domain,url,for_sale,buy_now_price,all_prices_usd,summary
a.ai,https://hack.chat/?ai,False,NONE,,"A hack.chat settings page listing themes, notifications, and online users."
a.am,https://a.am,False,NONE,,"AMFORT Group is a private global family office focused on long-term investments, brand stewardship, and meaningful philanthropy."
a.ar,https://a.ar/,True,100000,100000,"A.AR domain currently for sale with a buy-it-now price of $100,000."
a.ac,https://a.ac/,False,NONE,,This is a 404 Not Found error page.
a.af,https://a.af,False,NONE,,Bitly page offering custom domains and branded link management services.
a.bw,https://a.bw/,False,NONE,,A personal professional portfolio and bio site for Avi Ginsberg.
a.cn,http://a.cn/,False,NONE,,"A private personal website in China seeking venture capital and offering to buy source code for classifieds, dating, and auction platforms."
a.bo,https://a.bo/,False,NONE,,An obfuscated snippet containing a URL-like string with no sale information.
a.cc,http://a.cc,False,NONE,,"A Chinese MCN and talent agency platform for online celebrities and models, offering live streaming, training, and talent management."
a.cl,https://sitios.cl/,False,NONE,"40.45, 70.96",Sitios.cl is a Chilean site directory portal.
a.at,http://a.at,False,NONE,"0, 36.19, 24.55, 30.69, 47.19, 121.0, 9.89, 5.45, 10.89","A1 Austria telecom site offering mobile, internet, and TV services."
a.de,https://a.de/,False,NONE,,A.de is a German domain name (using the .de top-level domain).
a.dk,https://a.dk/,False,NONE,,A.dk is a Danish accounting software startup preparing an upcoming 2025 launch.
a.cx,http://a.cx,False,NONE,,"A personal Chinese blog/portal focused on nostalgia hardware, domain names, and tech news."
a.fm,http://a.fm/,False,NONE,,Welcome page for the domain a.fm.
a.gl,https://www.a.gl/,False,NONE,,A website that shows a 403 Forbidden access error.
a.gg,https://www.swiss.chat/auth/login,False,NONE,,Swiss.chat is a sign-in page for a private Swiss AI assistant service.
a.gp,https://website.org/404?domain=a.gp,False,NONE,,Platform to register and host a free website using the a.gp domain through Website.org.
a.gt,https://a.gt,False,NONE,,Canada-based technology and consumer goods company promoting Canadian products worldwide.
a.hr,https://a.hr,False,NONE,,Croatian hotel website with reservations and information for Hotel Antunović Zagreb.
a.hm,https://a.hm/,False,NONE,,A system that lists websites and assigns weights based on referral traffic from friend links.
a.ie,http://a.ie/,False,NONE,,The domain is reserved and currently held by a client of Irish Domains.
a.je,https://a.je/,False,NONE,,An HTTP 401 Authorization Required error page.
a.cz,https://a.cz,False,NONE,"0.0, 1.56, 1.68, 1.84, 2.2, 3.0, 3.8, 3.96, 4.36, 5.0, 5.96, 13.96, 14.4, 15.96, 17.96, 23.96, 35.96, 187.6, 279.56, 339.6, 459.6, 639.6","EVA.cz is a Czech online shop offering household goods, tools, and garden products."
a.ke,https://a.ke/,True,NONE,,The a.ke domain appears to be potentially for sale.
a.ki,https://www.inmar.com/solutions/martech/brands/media,False,NONE,,"Inmar's Media for Brands is a B2B marketing technology platform offering data-driven advertising, personalization, and influencer marketing solutions."
a.is,https://a.is,False,NONE,,Arion Bank is an Icelandic full-service bank offering comprehensive financial services for individuals and businesses.
a.kz,https://a.kz,False,NONE,,PS.kz is a Kazakhstan-based hosting and domain registration provider offering .kz domains and 24/7 support.
a.ly,https://a.ly,False,NONE,,Spiking is an online stock trading AI platform and education community led by Dr. Clemen Chiang.
a.me,https://a.me,False,NONE,,Free AI-powered brand-name generator promoting .ME domains.
a.ml,https://a.ml,False,NONE,,"A technical site about AML (Anything Modeling Language) and the AMF open-source framework for parsing, generating, and validating metadata."
a.mp,https://a.mp,False,NONE,,Delivr provides privacy-first dynamic QR code generation and related URL-shortening services.
