domain,zone,status,summary
aa.ml,ml,undelegated,country geo
ab.ml,ml,undelegated,country geo
ac.ml,ml,unknown,country geo
ad.ml,ml,undelegated,country geo
ae.ml,ml,undelegated,country geo
af.ml,ml,active,country geo
ag.ml,ml,undelegated,country geo
ah.ml,ml,undelegated,country geo
ai.ml,ml,active,country geo
aj.ml,ml,undelegated,country geo
ak.ml,ml,undelegated,country geo
al.ml,ml,undelegated,country geo
am.ml,ml,undelegated,country geo
an.ml,ml,undelegated,country geo
ao.ml,ml,undelegated,country geo
ap.ml,ml,undelegated,country geo
aq.ml,ml,undelegated,country geo
ar.ml,ml,undelegated,country geo
as.ml,ml,undelegated,country geo
at.ml,ml,undelegated,country geo
au.ml,ml,undelegated,country geo
av.ml,ml,undelegated,country geo
aw.ml,ml,undelegated,country geo
ax.ml,ml,undelegated,country geo
ay.ml,ml,unknown,country geo
az.ml,ml,undelegated,country geo
ba.ml,ml,undelegated,country geo
bb.ml,ml,undelegated,country geo
bc.ml,ml,,country geo
bd.ml,ml,unknown,country geo
be.ml,ml,undelegated,country geo
bf.ml,ml,,country geo
bg.ml,ml,undelegated,country geo
bh.ml,ml,undelegated,country geo
bi.ml,ml,undelegated,country geo
bj.ml,ml,undelegated,country geo
bk.ml,ml,unknown,country geo
bl.ml,ml,undelegated,country geo
bm.ml,ml,unknown,country geo
bn.ml,ml,undelegated,country geo
bo.ml,ml,undelegated,country geo
bp.ml,ml,undelegated,country geo
bq.ml,ml,undelegated,country geo
br.ml,ml,undelegated,country geo
bs.ml,ml,undelegated,country geo
bt.ml,ml,undelegated,country geo
bu.ml,ml,undelegated,country geo
bv.ml,ml,undelegated,country geo
bw.ml,ml,undelegated,country geo
bx.ml,ml,undelegated,country geo
by.ml,ml,unknown,country geo
bz.ml,ml,undelegated,country geo
ca.ml,ml,undelegated,country geo
cb.ml,ml,undelegated,country geo
cc.ml,ml,undelegated,country geo
cd.ml,ml,undelegated,country geo
ce.ml,ml,undelegated,country geo
cf.ml,ml,undelegated,country geo
cg.ml,ml,undelegated,country geo
ch.ml,ml,undelegated,country geo
ci.ml,ml,undelegated,country geo
cj.ml,ml,undelegated,country geo
ck.ml,ml,undelegated,country geo
cl.ml,ml,undelegated,country geo
cm.ml,ml,undelegated,country geo
cn.ml,ml,,country geo
co.ml,ml,active,country geo
cp.ml,ml,undelegated,country geo
