domain,zone,status,summary
aa.fo,fo,active,active
ab.fo,fo,active,active
ac.fo,fo,active,active
ad.fo,fo,active,active
ae.fo,fo,active,active
af.fo,fo,active,active
ag.fo,fo,active,active
ah.fo,fo,undelegated inactive,inactive
ai.fo,fo,marketed active parked,parked
aj.fo,fo,active,active
ak.fo,fo,undelegated inactive,inactive
al.fo,fo,active,active
am.fo,fo,active,active
an.fo,fo,undelegated inactive,inactive
ao.fo,fo,undelegated inactive,inactive
ap.fo,fo,undelegated inactive,inactive
aq.fo,fo,undelegated inactive,inactive
ar.fo,fo,active,active
as.fo,fo,active,active
at.fo,fo,active,active
au.fo,fo,active,active
av.fo,fo,active,active
aw.fo,fo,undelegated inactive,inactive
ax.fo,fo,active,active
ay.fo,fo,undelegated inactive,inactive
az.fo,fo,undelegated inactive,inactive
ba.fo,fo,active,active
bb.fo,fo,active,active
bc.fo,fo,active,active
bd.fo,fo,undelegated inactive,inactive
be.fo,fo,marketed active parked,parked
bf.fo,fo,undelegated active,active
bg.fo,fo,active,active
bh.fo,fo,undelegated inactive,inactive
bi.fo,fo,active,active
bj.fo,fo,undelegated inactive,inactive
bk.fo,fo,active,active
bl.fo,fo,active,active
bm.fo,fo,active,active
bn.fo,fo,undelegated inactive,inactive
bo.fo,fo,active,active
bp.fo,fo,active,active
bq.fo,fo,undelegated inactive,inactive
br.fo,fo,active,active
bs.fo,fo,active,active
bt.fo,fo,active,active
bu.fo,fo,active,active
bv.fo,fo,active,active
bw.fo,fo,undelegated inactive,inactive
bx.fo,fo,active,active
by.fo,fo,undelegated inactive,inactive
bz.fo,fo,undelegated inactive,inactive
ca.fo,fo,marketed active parked,parked
cb.fo,fo,active,active
cc.fo,fo,marketed active,active
cd.fo,fo,active,active
ce.fo,fo,undelegated inactive,inactive
cf.fo,fo,undelegated inactive,inactive
cg.fo,fo,undelegated inactive,inactive
ch.fo,fo,active,active
ci.fo,fo,active,active
cj.fo,fo,active,active
ck.fo,fo,undelegated inactive,inactive
cl.fo,fo,undelegated inactive,inactive
cm.fo,fo,undelegated inactive,inactive
cn.fo,fo,active,active
co.fo,co.fo,active zone,zone
cp.fo,fo,active,active
cq.fo,fo,active,active
cr.fo,fo,undelegated inactive,inactive
cs.fo,fo,active,active
ct.fo,fo,active,active
cu.fo,fo,active,active
cv.fo,fo,active,active
cw.fo,fo,undelegated inactive,inactive
cx.fo,fo,undelegated inactive,inactive
cy.fo,fo,active,active
cz.fo,fo,undelegated inactive,inactive
da.fo,fo,active,active
db.fo,fo,active,active
dc.fo,fo,active,active
dd.fo,fo,active,active
de.fo,fo,undelegated active,active
df.fo,fo,undelegated inactive,inactive
dg.fo,fo,undelegated inactive,inactive
dh.fo,fo,active,active
di.fo,fo,active,active
dj.fo,fo,undelegated inactive,inactive
dk.fo,fo,active,active
dl.fo,fo,active,active
dm.fo,fo,undelegated inactive,inactive
dn.fo,fo,undelegated inactive,inactive
do.fo,fo,active,active
dp.fo,fo,active,active
dq.fo,fo,active,active
dr.fo,fo,active,active
ds.fo,fo,active,active
dt.fo,fo,active,active
du.fo,fo,undelegated inactive,inactive
dv.fo,fo,undelegated inactive,inactive
dw.fo,fo,undelegated inactive,inactive
dx.fo,fo,active,active
dy.fo,fo,undelegated inactive,inactive
dz.fo,fo,undelegated inactive,inactive
ea.fo,fo,undelegated inactive,inactive
eb.fo,fo,active,active
ec.fo,fo,undelegated inactive,inactive
ed.fo,fo,undelegated inactive,inactive
ee.fo,fo,active,active
ef.fo,fo,active,active
eg.fo,fo,active,active
eh.fo,fo,undelegated inactive,inactive
ei.fo,fo,active,active
ej.fo,fo,active,active
ek.fo,fo,undelegated inactive,inactive
el.fo,fo,active,active
em.fo,fo,undelegated inactive,inactive
en.fo,fo,active,active
eo.fo,fo,undelegated inactive,inactive
ep.fo,fo,undelegated inactive,inactive
eq.fo,fo,undelegated inactive,inactive
er.fo,fo,active,active
es.fo,fo,active,active
et.fo,fo,active,active
eu.fo,fo,active,active
ev.fo,fo,active,active
ew.fo,fo,undelegated inactive,inactive
ex.fo,fo,active,active
ey.fo,fo,active,active
ez.fo,fo,undelegated inactive,inactive
fa.fo,fo,active,active
fb.fo,fo,active,active
fc.fo,fo,active,active
fd.fo,fo,active,active
fe.fo,fo,active,active
ff.fo,fo,active,active
fg.fo,fo,active,active
fh.fo,fo,undelegated inactive,inactive
fi.fo,fo,active,active
fj.fo,fo,undelegated inactive,inactive
fk.fo,fo,active,active
fl.fo,fo,active,active
fm.fo,fo,active,active
fn.fo,fo,active,active
fo.fo,fo,active,active
fp.fo,fo,active,active
fq.fo,fo,undelegated inactive,inactive
fr.fo,fo,active,active
fs.fo,fo,undelegated reserved,reserved
ft.fo,fo,active,active
fu.fo,fo,active,active
fv.fo,fo,active,active
fw.fo,fo,undelegated inactive,inactive
fx.fo,fo,active,active
fy.fo,fo,active,active
fz.fo,fo,undelegated inactive,inactive
ga.fo,fo,active,active
gb.fo,fo,active,active
gc.fo,fo,active,active
gd.fo,fo,undelegated inactive,inactive
ge.fo,fo,active,active
gf.fo,fo,undelegated inactive,inactive
gg.fo,fo,active,active
gh.fo,fo,active,active
gi.fo,fo,undelegated inactive,inactive
gj.fo,fo,active,active
gk.fo,fo,undelegated inactive,inactive
gl.fo,fo,undelegated inactive,inactive
gm.fo,fo,active,active
gn.fo,fo,undelegated inactive,inactive
